2/5/16,W,84,52.4,27.3,20,60,9,46,26,7,4,15,15,12,87,42.5,34.6,14,78.6,6,38,23,7,8,15,18,-12
1/20/16,W,86,52.3,31.3,13,84.6,11,34,27,11,3,10,19,19,68,48.5,46.7,18,77.8,7,31,23,3,4,21,16,-19
1/13/16,W,84,45.2,44.4,24,75,9,30,27,18,4,17,26,5,72,52.8,12.5,34,70.6,10,47,23,10,2,27,21,-5
1/8/16,L,84,39.3,32,15,93.3,7,35,18,9,9,19,22,-9,75,45.3,35.7,26,92.3,6,47,11,7,13,23,18,9
12/14/15,L,86,43,37.5,20,60,10,36,22,9,3,14,13,-17,78,56.4,66.7,15,93.3,6,39,26,8,5,17,18,17
11/24/15,L,83,45.8,39.4,24,70.8,10,40,27,9,1,21,18,-17,80,55,73.1,23,69.6,7,41,25,11,0,20,18,17
12/16/15,L,84,41.7,20,25,88,10,38,22,6,4,12,18,-19,83,53,36.4,23,78.3,8,43,29,10,9,13,21,19
11/7/15,L,78,48.7,33.3,17,88.2,8,41,27,11,3,25,18,-15,92,46.7,39.4,15,100,10,39,37,12,4,14,15,15
10/28/15,W,84,39.3,25,25,60,15,49,17,8,9,18,14,1,100,37,19.2,12,66.7,17,56,20,9,6,16,22,-1
2/29/16,W,89,48.3,30,31,77.4,14,53,25,6,6,17,17,8,89,48.3,31.3,21,57.1,6,32,27,8,4,12,27,-8
1/9/16,W,76,55.3,56.5,10,80,4,27,29,10,3,15,24,6,74,51.4,35.7,24,75,11,37,22,9,2,15,12,-6
12/11/15,L,80,50,44.4,21,61.9,6,33,27,10,1,11,17,-2,79,49.4,59.3,18,72.2,7,41,21,9,0,16,18,2
11/25/15,L,87,35.6,31.3,18,83.3,11,41,15,13,4,14,20,-14,83,47,30.8,15,100,9,51,22,5,6,19,17,14
1/16/16,L,89,44.9,27.3,36,86.1,14,42,25,13,5,14,27,-2,88,44.3,31,36,88.9,17,47,27,7,3,16,25,2
3/16/16,W,88,48.9,61.9,24,75,9,47,25,12,6,15,19,21,87,40.2,30,23,87,9,40,20,10,3,18,20,-21
3/21/16,W,91,50.5,52,20,60,9,44,27,10,3,9,17,15,78,48.7,39.4,17,76.5,2,33,23,5,6,14,15,-15
3/2/16,W,84,50,37.9,13,69.2,5,36,25,8,3,17,22,6,75,42.7,35.7,34,85.3,9,45,17,8,2,19,20,-6
10/30/15,W,68,51.5,57.1,44,81.8,8,37,25,7,5,21,20,5,82,51.2,29.2,28,78.6,6,32,33,9,2,16,32,-5
2/24/16,L,90,42.2,32.1,26,73.1,9,42,19,11,4,11,22,-5,88,50,34.8,16,81.3,7,50,26,6,2,16,22,5
1/15/16,W,98,52,44,10,50,17,54,26,8,2,15,29,14,80,47.5,17.6,32,78.1,6,35,19,9,3,13,12,-14
2/6/16,L,86,44.2,36,24,79.2,8,44,22,9,5,11,21,-4,81,46.9,44.4,25,80,7,43,23,7,5,16,21,4
12/6/15,L,89,47.2,29.6,21,57.1,6,31,22,9,0,7,22,-12,76,50,51.6,27,88.9,6,50,25,5,4,16,17,12
3/23/16,L,92,42.4,40,12,91.7,10,43,25,7,2,18,22,-21,84,53.6,40.5,22,68.2,7,41,32,10,5,16,17,21
2/19/16,W,78,46.2,31.8,26,73.1,8,47,26,5,5,9,20,12,82,42.7,30.4,17,52.9,6,41,13,2,3,13,20,-12
3/27/16,W,72,54.2,38.9,29,55.2,6,42,23,12,2,18,17,13,87,37.9,25,17,88.2,12,42,15,12,0,18,26,-13
12/2/15,L,79,46.8,33.3,31,74.2,8,41,24,11,2,23,15,-4,96,42.7,32,20,90,16,45,17,18,3,17,22,4
3/14/16,W,90,56.7,44.4,18,77.8,5,40,34,11,3,10,22,43,79,40.5,13,22,63.6,11,39,17,5,4,21,21,-43
11/21/15,W,78,48.7,36.8,20,70,9,42,22,10,0,13,19,2,79,45.6,30.8,21,71.4,8,38,20,3,2,13,17,-2
12/1/15,W,83,47,25,16,75,2,39,23,7,5,13,23,12,83,33.7,30,23,78.6,10,47,15,8,3,19,18,-12
2/26/16,W,94,42.6,30.4,17,94.1,17,55,24,7,8,13,19,9,82,42.7,32,21,76.2,7,41,21,10,5,13,19,-9
2/18/16,W,86,48.8,38.9,21,57.1,6,36,25,14,10,14,20,14,77,40.3,26.7,29,79.3,12,48,20,9,6,23,21,-14
1/1/16,W,92,46.7,30.8,10,90,12,46,25,11,5,10,11,12,85,47.1,25,8,75,7,39,29,6,4,16,13,-12
11/4/15,W,87,48.3,34.8,14,71.4,4,33,27,11,3,10,19,3,81,45.7,31.8,20,90,9,49,21,5,3,21,21,-3
4/11/16,W,89,51.7,36,24,79.2,9,47,27,8,1,14,18,9,98,44.9,32.3,21,61.9,13,43,24,9,9,10,16,-9
2/3/16,L,91,50.5,34.8,30,70,4,38,26,16,4,14,22,-13,93,52.7,48.8,29,55.2,11,49,35,10,5,18,24,13
12/9/15,L,89,43.8,20,24,83.3,11,47,20,8,3,18,25,-6,83,48.2,36.4,25,68,6,42,23,8,4,19,23,6
2/1/16,L,86,46.5,26.9,15,73.3,2,27,20,8,3,13,18,-16,83,51.8,31.8,27,77.8,14,53,25,9,5,20,16,16
4/6/16,W,95,50.5,28.6,20,85,16,53,36,7,10,12,19,18,92,42.4,41.2,24,75,11,38,26,7,4,11,21,-18
3/4/16,L,81,39.5,15,24,66.7,10,47,14,2,5,16,19,-25,90,46.7,44.4,16,75,8,47,24,9,5,9,19,25
11/28/15,L,82,32.9,30.4,27,77.8,10,42,20,11,3,15,16,-2,72,43.1,45.8,14,78.6,6,48,17,8,7,22,21,2
1/30/16,W,86,52.3,34.4,30,73.3,7,45,30,6,5,13,25,1,86,47.7,48.6,33,69.7,10,37,24,8,3,10,23,-1
11/6/15,L,88,40.9,32,23,78.3,10,45,23,10,8,24,27,-20,97,45.4,40,23,78.3,15,53,24,18,5,17,21,20
1/18/16,L,77,48.1,42.9,20,75,4,35,25,6,3,9,16,-10,84,51.2,54.8,11,45.5,9,48,25,5,2,15,24,10
2/27/16,L,89,41.6,25,25,68,16,48,14,11,9,21,19,-2,84,47.6,46.7,17,64.7,8,45,23,12,2,19,21,2
3/9/16,L,79,40.5,40,31,71,14,42,21,9,4,20,16,-21,84,57.1,43.3,10,60,9,39,36,10,7,15,23,21
1/6/16,L,79,46.8,38.9,18,94.4,10,34,21,8,3,19,17,-25,86,60.5,42.9,13,76.9,8,38,34,10,2,13,21,25
3/24/16,L,73,47.9,22.7,23,69.6,9,36,18,8,3,18,22,-22,83,54.2,40.9,22,63.6,10,39,27,13,4,15,16,22
1/27/16,W,81,49.4,38.7,15,66.7,7,45,23,10,6,10,18,29,68,36.8,24,21,81,5,35,10,6,0,20,15,-29
11/4/15,L,88,37.5,20.8,33,63.6,16,40,9,12,8,9,22,-16,77,53.2,44,32,46.9,13,48,11,5,7,19,25,16
12/13/15,L,94,41.5,36.4,20,60,16,44,14,6,2,13,24,-6,79,44.3,33.3,30,90,8,42,18,7,13,10,18,6
1/20/16,L,86,43,44.4,31,80.6,14,40,19,4,4,13,22,-7,90,52.2,41.2,18,94.4,12,38,20,3,7,11,25,7
11/25/15,W,77,50.6,46.2,25,72,11,39,19,12,4,17,20,11,75,50.7,33.3,17,64.7,11,35,18,11,7,19,22,-11
12/5/15,W,92,46.7,34.8,37,75.7,19,54,21,7,3,15,30,3,93,43,41.4,34,79.4,12,44,17,10,2,16,34,-3
4/8/16,L,82,43.9,35.5,23,69.6,9,47,14,7,6,18,15,-3,83,44.6,44.8,19,78.9,8,44,16,13,3,14,20,3
1/2/16,W,75,41.3,33.3,28,75,9,48,17,4,7,17,24,5,81,40.7,38.9,26,53.8,8,40,17,8,4,13,24,-5
11/30/15,L,89,44.9,31.6,22,77.3,10,35,18,9,2,9,16,-3,82,48.8,48.3,15,80,14,45,21,2,5,15,19,3
3/28/16,W,89,51.7,53.1,19,73.7,13,57,26,4,7,7,18,48,85,30.6,35,22,72.7,7,37,11,5,6,9,19,-48
2/9/16,W,92,52.2,23.1,27,70.4,13,44,23,3,2,11,25,2,75,48,37.9,41,87.8,6,36,24,5,1,11,21,-2
2/19/16,W,68,54.4,43.5,44,61.4,8,51,22,4,8,16,26,18,81,37,28,36,72.2,8,34,18,8,3,7,31,-18
1/25/16,L,85,40,31,18,83.3,12,49,18,5,4,13,26,-3,75,45.3,50,33,48.5,7,42,19,7,1,10,18,3
2/21/16,L,86,50,50,23,73.9,12,38,19,6,10,11,26,-4,90,43.3,37.5,38,65.8,23,48,20,7,6,14,21,4
2/6/16,W,78,43.6,31.3,31,80.6,10,44,14,7,7,11,26,9,80,37.5,37.5,26,76.9,12,39,19,3,6,10,23,-9
12/21/15,W,79,45.6,36,37,78.4,11,47,16,8,6,11,16,21,79,39.2,29.2,22,90.9,9,40,12,3,0,16,26,-21
1/4/16,L,75,40,41.4,25,76,15,44,17,9,4,16,20,-2,68,48.5,42.3,21,76.2,6,34,17,8,2,16,16,2
2/5/16,W,77,39,29.6,23,69.6,12,45,13,15,8,17,18,3,71,42.3,50,21,66.7,7,41,9,12,7,20,17,-3
3/8/16,L,86,34.9,26.9,23,73.9,15,54,16,10,4,20,14,-7,80,47.5,32,14,50,4,41,15,9,4,16,19,7
12/18/15,W,73,46.6,40,25,76,5,39,15,8,1,15,19,9,79,39.2,21.4,25,80,15,44,15,10,4,15,20,-9
1/29/16,W,76,52.6,40,16,81.3,10,40,24,8,5,14,21,13,75,46.7,20,26,69.2,13,38,17,9,2,15,13,-13
4/11/16,L,77,45.5,27.3,18,72.2,6,38,21,5,3,10,16,-9,81,44.4,34.4,22,81.8,10,47,19,7,2,9,15,9
11/13/15,L,87,39.1,32,23,73.9,12,41,24,14,6,17,24,-9,76,42.1,37,31,90.3,10,45,20,11,11,22,20,9
